,Tenure,DummyStreamingMovies,DummyStreamingTV,DummyContract,DummyMultiple,DummyTechie,DummyInternetService,DummyDeviceProtection,DummyOnlineBackup,DummyPhone
7366,44.609,0,0,1,0,0,1,1,1,1
8242,56.398,0,1,0,0,1,1,0,1,0
862,2.01,0,0,0,1,1,1,1,0,0
7049,66.276,0,0,1,1,0,1,1,0,0
7396,70.03,1,0,0,0,0,0,0,0,1
8251,70.494,0,1,0,1,0,1,0,1,1
779,8.908,1,0,0,1,0,1,0,0,1
5686,68.297,0,0,1,1,0,1,1,1,1
3790,9.747,1,1,0,0,0,1,0,1,1
9348,53.032,0,0,0,1,0,0,1,1,1
5344,65.495,0,0,0,0,0,0,0,0,1
8232,46.272,1,0,0,0,0,1,0,1,1
7662,66.979,1,0,0,0,0,1,1,1,1
2809,11.716,0,1,0,0,0,0,0,0,0
4028,16.96,1,0,0,0,0,1,1,1,1
1326,10.922,1,0,1,0,0,0,0,1,1
4834,3.306,0,0,0,1,1,0,1,0,1
3277,2.049,1,0,1,1,0,0,0,0,1
4184,6.311,1,0,1,0,0,1,0,1,1
4236,14.613,1,0,1,0,1,0,0,0,1
2634,2.6,0,1,0,1,0,0,1,0,1
4355,17.708,1,1,1,0,0,1,1,0,1
8502,52.605,1,0,0,1,0,0,1,0,1
9442,39.275,0,0,0,1,0,0,1,1,1
2478,20.137,1,0,0,1,0,1,1,1,1
7975,67.502,1,1,1,1,1,1,1,1,1
8942,53.258,0,0,1,0,1,1,1,1,1
8681,57.359,0,0,0,1,0,0,0,1,1
3743,13.024,0,0,0,0,1,1,0,1,1
5336,58.702,0,1,1,1,0,0,0,0,1
4423,15.224,1,0,0,1,0,0,1,0,1
1548,12.775,1,1,0,0,0,1,0,0,1
607,4.11,1,0,0,1,0,0,0,0,1
716,16.759,1,1,0,1,0,1,1,1,0
4516,8.562,1,0,1,0,0,1,0,1,1
364,24.887,1,0,1,1,0,1,0,0,1
443,7.263,1,1,0,1,0,0,1,1,0
1247,17.638,0,1,0,1,0,0,1,1,1
2261,4.067,1,0,0,0,1,0,0,0,1
8552,44.685,0,0,1,1,0,0,0,0,1
1785,17.561,1,1,0,1,0,0,0,1,1
4751,5.792,0,0,0,1,1,1,0,0,1
3674,11.301,0,0,0,1,0,0,0,0,0
7093,41.223,1,1,0,0,0,0,0,1,1
2004,7.976,1,1,0,1,0,1,0,0,1
2067,9.061,0,1,0,0,0,1,1,1,1
3196,3.053,0,0,0,0,0,1,0,1,0
7408,54.844,0,1,0,1,0,1,0,0,1
3639,23.281,1,0,1,0,0,0,0,0,1
9461,51.831,1,1,0,1,0,0,1,1,1
4244,3.985,0,1,0,1,0,0,0,1,1
7457,66.891,0,1,0,0,0,1,1,1,1
870,2.086,0,1,1,0,0,0,0,1,1
419,6.326,1,0,1,0,0,1,0,1,1
5411,61.722,0,1,1,1,0,1,1,1,1
6122,40.351,1,1,0,1,0,0,0,1,1
9833,62.107,0,0,0,0,0,1,1,1,1
4658,13.691,1,0,0,1,0,1,1,0,0
1089,6.681,1,1,0,0,0,0,1,0,1
9522,60.337,1,1,0,1,0,1,0,1,1
5836,69.972,1,1,0,1,0,0,1,0,1
4151,5.815,0,0,0,1,0,1,1,1,1
1155,10.394,1,0,1,1,0,1,1,0,1
1794,8.249,1,0,1,0,0,0,1,1,1
6993,69.4,0,0,1,0,0,1,0,1,1
3822,21.061,0,1,0,0,1,0,0,0,1
2742,8.527,1,1,1,1,0,1,1,0,1
1828,5.643,1,1,1,1,1,1,0,1,1
6055,70.041,0,1,0,1,1,1,0,1,1
9675,68.441,0,0,0,1,0,0,0,0,0
6668,68.042,0,0,0,1,0,0,0,1,1
6117,49.049,0,0,0,1,0,1,0,0,1
2779,12.954,0,1,0,1,0,0,0,0,1
6536,54.783,0,1,1,1,0,0,1,0,1
4536,21.558,0,0,0,1,0,1,0,0,1
9899,71.541,1,1,1,0,1,1,0,1,1
6995,70.804,1,0,1,1,0,1,0,1,1
7121,53.664,1,0,1,0,0,1,0,1,1
8981,70.269,1,0,0,1,0,1,0,0,1
1503,6.222,0,0,1,0,0,1,0,0,0
5466,68.906,1,0,0,0,0,0,0,1,1
9661,60.853,1,0,0,1,0,1,1,0,1
1342,10.462,1,1,0,1,1,0,0,0,1
4899,4.377,1,1,0,1,1,0,0,0,1
3957,16.75,0,0,0,1,0,0,1,1,1
7191,48.155,0,1,0,0,0,1,1,0,1
2491,4.847,0,0,0,0,1,1,1,1,1
5789,61.627,0,0,0,1,0,1,1,1,0
9252,61.104,1,1,0,1,0,0,0,0,1
9613,62.29,0,0,1,0,0,0,0,1,1
5701,70.643,1,1,0,1,0,1,0,1,1
3354,4.067,0,0,0,1,0,0,0,1,1
7438,62.281,1,1,1,1,0,0,0,1,1
6597,70.839,0,1,0,0,0,0,0,0,1
7385,56.111,0,1,0,0,1,0,1,0,1
5729,52.656,0,0,0,1,1,1,1,1,1
3310,6.365,1,1,1,0,0,0,1,0,1
8095,48.872,1,0,1,0,0,0,0,1,1
1256,2.44,1,1,0,1,1,0,0,1,1
1554,12.639,0,0,1,1,1,0,0,0,1
5515,52.039,1,1,1,1,0,0,0,0,1
2735,7.924,0,1,0,0,0,0,0,0,1
8250,63.646,1,0,0,0,0,1,0,1,1
7028,53.902,0,0,0,0,0,0,0,0,1
9619,64.904,0,1,0,0,0,0,0,1,1
1232,18.816,1,0,0,1,0,0,0,1,1
7894,52.215,0,0,0,1,1,0,0,1,1
5676,68.008,0,0,1,0,0,0,1,0,1
6428,58.103,0,1,0,0,0,0,0,0,1
1784,6.418,0,1,0,0,0,1,1,0,1
3728,4.078,0,0,1,0,0,1,0,0,1
2192,17.984,1,0,0,1,1,0,0,0,0
5326,54.588,1,0,0,0,0,1,0,1,1
5343,59.028,1,1,0,1,0,0,0,0,1
8773,49.207,0,1,0,0,1,1,0,0,1
1570,7.898,0,1,0,0,0,1,0,0,1
8198,62.713,1,0,0,0,0,1,0,1,1
5053,71.533,1,1,1,0,1,1,1,0,1
1228,3.853,0,0,1,0,0,1,1,1,1
4124,4.827,1,0,0,0,0,0,0,0,1
6169,56.533,1,1,0,1,0,1,1,0,1
5853,60.549,1,0,1,0,0,0,0,1,1
9969,47.322,1,0,0,1,0,0,1,1,1
1009,6.525,0,0,0,0,0,1,0,0,1
1727,13.724,0,1,0,0,0,1,1,0,1
4684,10.064,1,1,1,1,0,1,1,0,0
3436,11.648,1,0,0,1,0,0,0,0,1
2847,5.448,1,1,0,0,0,0,0,1,1
730,7.004,1,0,0,0,0,1,1,0,1
3481,8.37,0,1,0,0,0,0,1,0,1
6925,58.768,0,0,1,1,0,0,0,0,1
6181,58.529,0,1,0,0,0,1,1,1,0
121,4.8,1,1,0,1,0,0,1,1,1
2887,12.693,1,0,0,0,1,0,0,0,1
8788,57.073,1,0,0,1,0,1,1,0,1
4181,4.892,0,1,0,0,0,1,1,0,1
4876,1.374,0,1,0,1,0,0,0,0,1
2068,2.402,0,1,1,1,0,1,0,0,1
6247,48.161,0,1,0,1,0,0,0,0,1
1305,13.031,1,0,0,0,1,0,1,1,1
1347,3.136,1,0,0,0,0,0,1,0,1
2393,11.369,1,1,0,0,0,0,1,1,1
1501,18.023,0,0,0,1,0,1,1,0,1
7421,41.373,1,0,0,0,0,0,0,0,1
4288,22.055,0,0,0,1,1,0,1,1,1
6025,63.479,1,1,0,0,0,0,1,1,1
1938,2.248,0,1,0,1,0,0,1,1,0
4152,19.943,0,0,1,0,0,1,1,0,1
717,13.852,0,0,0,1,0,0,0,1,1
9327,64.01,0,1,0,0,0,0,1,0,1
9812,59.41,0,0,0,0,0,0,1,1,1
3231,8.539,0,1,0,1,0,1,0,0,1
4451,5.452,0,0,1,1,0,0,0,1,1
8573,48.785,0,0,0,0,0,0,0,0,1
2423,6.617,0,0,1,0,0,1,1,1,1
5342,52.35,1,0,0,0,1,1,0,1,1
5293,49.666,0,1,0,1,0,0,1,1,1
4814,7.889,0,0,0,1,1,1,0,0,1
7239,59.496,0,1,1,0,0,1,0,1,1
7555,63.377,0,1,0,0,0,0,0,1,1
8213,63.995,0,0,0,0,0,0,0,0,1
2721,11.885,0,0,1,0,0,1,0,0,1
962,8.015,0,0,0,0,0,0,0,1,1
306,6.198,0,1,1,0,0,0,0,0,1
5137,43.291,0,1,1,0,0,0,0,1,1
1418,4.595,0,1,0,0,1,0,0,0,1
7617,63.474,1,0,0,1,0,1,1,0,1
6255,57.049,0,1,1,0,0,0,0,0,1
3282,3.98,1,0,0,0,0,1,1,0,1
1295,4.398,0,0,0,0,0,1,0,1,1
9923,58.136,0,1,0,0,0,0,0,0,1
9641,52.47,1,1,0,0,0,0,0,1,1
8688,66.273,1,0,1,0,0,1,1,1,1
2018,1.955,1,1,0,1,0,1,0,0,1
4111,15.827,0,0,1,1,0,0,1,0,0
5543,45.185,0,1,0,1,0,0,1,1,1
7350,59.826,0,1,1,0,0,0,0,1,0
3791,27.842,1,1,1,0,0,0,0,0,0
6164,64.104,0,0,0,1,0,0,1,0,1
3435,10.569,1,0,0,0,0,0,0,1,1
3201,4.525,1,1,0,1,0,0,1,0,1
2514,8.973,1,1,0,1,0,1,0,0,1
3846,6.893,0,0,0,1,0,0,0,1,1
3705,9.198,0,0,0,0,0,0,1,1,1
7016,43.923,1,0,1,1,0,0,0,1,1
6235,55.205,1,1,0,1,0,1,0,1,1
5522,67.118,0,0,1,0,1,0,1,0,0
8479,71.991,1,1,0,1,0,0,0,0,1
422,6.438,1,1,0,0,1,0,1,0,1
7549,41.959,0,1,0,1,0,1,1,1,1
3937,7.627,1,1,1,0,0,1,0,0,1
2309,5.885,1,0,0,1,1,1,0,0,1
4850,2.25,1,1,1,1,0,1,0,0,1
6445,58.781,0,0,1,0,0,0,1,1,1
251,14.235,0,0,0,1,0,0,1,1,1
1429,16.789,0,1,0,1,0,1,1,1,1
7099,44.145,1,0,1,1,0,0,0,0,1
1614,9.218,1,0,0,0,1,1,1,1,0
9128,62.465,1,1,0,0,0,1,0,1,1
1416,21.131,1,0,0,1,0,0,1,0,1
7310,51.625,1,1,0,0,0,0,0,0,1
6947,69.036,1,0,0,0,0,1,1,1,1
6633,37.119,0,0,0,0,0,0,1,0,1
9015,64.174,1,1,1,1,0,1,1,1,1
2643,4.311,1,1,0,1,0,1,0,0,1
3171,9.705,0,0,0,1,0,0,1,0,1
6982,56.172,0,0,0,0,0,0,1,0,1
3046,12.002,1,1,1,1,1,0,1,1,1
34,3.471,1,1,0,1,0,1,1,0,1
2976,10.111,0,0,0,1,0,0,0,1,1
3847,10.429,0,0,0,0,0,0,1,0,1
1251,2.163,0,1,0,0,1,1,1,0,1
4696,4.465,1,1,0,0,0,1,0,1,1
2043,3.088,0,0,0,1,0,0,0,1,1
8160,57.661,1,0,0,0,0,1,1,1,1
2828,3.158,1,0,1,0,0,1,0,1,1
6033,69.026,1,1,0,0,0,0,0,0,1
1457,19.084,1,0,0,1,1,0,0,0,1
4744,17.887,0,0,1,1,0,1,0,1,1
9228,67.928,0,0,1,1,1,0,0,0,1
1971,10.988,1,0,0,1,0,0,0,1,1
4462,1.871,1,1,0,0,0,0,1,0,0
2000,10.508,1,1,0,1,0,0,1,1,1
2334,7.882,1,0,1,0,0,0,1,0,1
9682,52.908,0,1,0,1,0,0,0,1,1
3301,5.706,0,1,1,0,0,0,1,0,1
9658,58.203,1,1,0,0,0,1,0,0,1
9911,69.992,1,1,0,1,0,0,0,0,0
3933,7.37,0,0,0,0,0,0,1,0,0
9142,59.85,1,1,0,1,0,1,0,1,1
4597,2.507,0,0,1,1,0,1,0,0,1
279,6.878,1,1,0,1,1,0,1,0,1
1211,5.55,1,1,0,0,1,0,1,0,1
5518,67.165,1,1,0,1,0,1,1,1,1
5630,60.159,0,1,0,0,0,1,1,1,1
9952,67.037,1,0,0,1,0,0,0,1,1
4537,14.067,1,0,1,1,0,1,0,0,1
1331,3.956,1,0,0,1,0,0,1,1,1
7824,58.508,0,1,0,0,0,1,1,0,1
5229,57.0,1,1,0,0,1,0,0,0,1
9353,60.046,0,0,1,1,0,0,0,1,1
1027,4.304,1,0,0,0,0,1,0,1,1
7416,70.773,0,1,1,0,1,0,0,0,1
8193,55.723,0,0,0,0,0,0,0,0,1
4779,1.906,0,0,1,0,0,1,1,0,1
9800,70.642,0,0,0,1,0,0,0,1,1
7547,54.942,1,0,1,1,0,1,1,0,1
5135,64.162,1,1,1,1,0,1,1,0,0
1533,14.927,1,1,0,1,1,0,0,0,1
3553,14.744,1,1,1,0,0,1,0,0,1
1330,1.7,1,0,0,0,0,1,1,1,1
4405,2.681,0,1,0,1,0,1,1,1,1
9025,70.409,1,1,0,0,0,1,1,0,1
3421,6.672,0,1,0,0,0,0,0,1,1
1113,5.901,1,0,0,0,0,0,0,0,1
5607,59.431,1,0,0,0,0,1,0,1,1
6808,55.097,1,0,0,1,0,1,1,1,1
612,10.032,0,0,0,0,0,1,0,1,1
2405,1.813,0,1,0,1,0,1,0,1,1
2076,7.978,0,0,0,0,0,0,1,0,1
5420,53.824,1,0,0,0,0,0,0,0,1
9605,60.41,1,0,0,1,0,0,1,1,1
2956,7.845,0,0,0,0,0,0,0,1,1
7669,57.898,0,1,1,1,1,1,0,0,1
6189,62.586,0,1,0,1,1,1,0,0,1
5733,71.007,0,1,0,0,0,0,0,0,1
1745,24.776,0,1,0,1,0,1,1,1,1
5762,70.976,0,0,1,0,1,1,0,0,1
4239,8.361,0,0,1,1,0,0,0,1,1
237,9.405,1,0,0,1,0,0,1,1,1
7328,56.261,1,1,0,1,0,0,0,1,1
6701,40.244,0,1,1,0,0,1,0,0,1
5675,61.607,0,1,0,0,0,1,0,0,1
8850,64.565,1,1,0,1,1,0,0,0,1
9961,54.758,0,0,0,0,1,1,1,1,1
554,11.402,0,0,0,0,0,0,0,1,1
5932,70.168,1,0,0,0,0,0,0,0,1
6139,71.012,0,1,0,0,0,0,1,1,1
932,4.817,0,1,0,0,0,1,1,1,1
9158,62.609,1,0,0,0,0,1,0,1,1
6691,48.904,0,1,1,0,1,0,0,1,1
7908,48.927,1,0,1,1,0,0,1,0,1
1574,2.723,0,0,1,0,1,0,0,1,1
8766,45.664,0,0,0,1,1,1,0,0,1
2913,2.458,0,0,0,0,0,0,0,0,1
8276,39.273,1,0,0,1,0,1,0,0,1
201,18.562,1,0,0,1,0,0,1,1,1
1953,21.471,1,1,0,0,1,0,1,1,1
6483,44.6,1,1,0,1,0,0,0,1,1
7993,71.805,0,0,0,1,1,0,1,1,1
6800,39.408,1,1,0,1,0,0,1,1,1
7469,48.533,1,0,0,0,0,1,0,0,1
2349,5.85,1,0,0,0,0,1,0,1,1
3527,4.38,1,1,0,0,0,1,0,1,0
4941,18.083,1,0,0,1,0,0,1,1,1
5092,52.761,1,1,0,1,0,0,0,1,1
2057,31.32,0,1,0,0,1,0,0,0,1
5924,52.894,1,0,0,0,0,0,1,0,1
9103,54.771,0,1,0,0,0,0,1,0,1
745,9.54,1,0,0,1,0,0,0,0,1
2965,11.167,0,0,0,0,0,0,0,1,1
5714,63.054,0,1,1,1,0,0,0,1,1
1356,11.735,1,0,0,0,0,1,0,1,1
4090,3.212,1,0,0,0,1,1,1,0,1
9129,54.228,1,1,0,0,0,1,0,1,1
6182,56.01,1,0,0,1,0,0,1,0,1
2796,13.476,0,0,0,1,0,0,1,1,1
5840,61.829,0,0,0,1,0,0,0,0,1
6970,58.042,1,0,0,0,0,1,1,1,1
9309,59.034,0,0,0,0,1,1,0,1,0
2338,9.595,0,0,0,0,0,0,1,1,1
3529,19.29,1,0,1,1,0,1,0,0,1
3458,17.198,0,0,0,1,1,1,0,0,1
141,2.887,0,1,0,1,0,1,0,1,1
9425,71.947,0,0,0,0,1,1,1,0,1
8335,47.867,1,1,1,1,0,1,0,0,1
4540,19.849,0,0,0,0,0,0,0,0,1
2590,12.173,0,1,0,1,0,0,0,0,1
8267,54.683,1,1,0,0,0,1,1,1,1
3929,7.778,0,0,1,0,0,1,0,0,1
4879,3.385,0,0,0,1,0,0,1,1,1
347,13.628,1,1,1,0,0,0,1,0,1
8943,63.434,1,0,0,0,0,0,0,1,0
8454,59.644,1,0,0,1,0,1,1,1,1
7285,53.53,1,1,0,0,0,1,0,1,0
4252,9.022,1,0,0,1,0,1,0,1,1
6049,67.574,0,1,0,0,0,0,0,1,1
6224,60.434,1,1,0,0,0,0,1,0,0
4673,3.878,1,0,0,1,1,0,0,0,1
4092,9.062,0,1,0,1,1,1,0,0,1
1711,3.663,0,0,0,1,0,0,0,0,1
6490,68.479,1,1,1,1,0,1,0,1,1
9336,38.283,1,0,0,0,1,1,0,0,1
9090,62.454,0,1,0,1,0,0,1,0,1
5382,45.843,0,0,0,0,1,0,0,1,1
2717,9.5,0,1,1,1,0,0,0,1,1
6251,64.499,0,0,0,0,0,1,0,1,1
6840,45.89,0,1,0,0,0,1,0,1,1
5422,53.173,0,0,0,0,0,0,0,0,1
2623,30.822,0,1,0,1,0,0,1,0,1
1095,7.172,0,1,0,0,1,0,1,0,0
3899,10.909,0,0,1,1,1,0,1,1,0
3247,4.158,0,0,0,0,1,1,1,0,1
5494,62.907,1,1,0,1,0,0,0,0,1
1377,14.057,1,1,1,0,0,0,0,0,1
2127,1.79,0,1,0,1,1,1,0,1,1
2325,12.272,0,1,0,0,0,0,1,0,1
3399,5.997,1,1,0,1,1,1,1,0,1
2710,4.244,1,1,0,0,0,1,1,0,1
9926,49.07,1,0,0,1,0,1,0,1,1
3697,10.358,1,0,0,0,1,0,0,0,1
3669,7.896,0,0,0,0,0,0,1,1,1
9707,53.901,0,0,0,1,0,1,0,0,1
9991,55.498,0,1,0,0,0,1,0,1,1
9284,68.988,0,0,0,1,0,0,0,1,1
8378,41.758,1,0,0,1,0,1,1,0,1
3490,15.369,0,0,0,0,0,1,0,0,1
2037,9.841,1,1,0,0,0,0,0,1,1
8792,66.507,1,1,1,1,0,0,0,1,0
6545,60.187,1,0,1,0,0,0,0,0,1
8421,60.982,1,0,0,1,0,0,0,1,1
7868,36.881,1,1,0,1,1,0,1,0,1
9227,57.282,0,1,1,0,0,0,0,1,1
7727,67.964,0,1,1,0,0,1,0,1,1
3447,19.194,0,1,1,1,0,1,0,1,0
7915,58.07,1,0,0,0,0,1,1,1,1
3035,3.101,0,1,0,0,0,1,0,1,1
6852,70.627,1,1,1,0,0,1,0,0,1
4611,16.581,1,0,0,1,1,0,1,0,1
6945,57.852,0,1,0,1,0,1,0,0,1
9815,60.297,0,1,1,0,0,0,1,0,1
6635,70.365,0,1,0,1,0,0,1,0,1
7977,67.713,1,0,0,0,0,0,1,0,1
8559,61.659,1,1,1,0,0,0,0,1,1
7314,59.666,1,1,0,1,0,0,0,1,1
8136,63.484,0,1,0,0,0,1,1,0,1
9960,54.134,0,1,0,0,0,1,1,1,1
3623,3.858,0,1,1,1,0,0,0,0,1
3747,3.832,1,1,0,0,1,1,1,1,1
6155,57.112,0,0,1,0,0,1,0,0,1
3287,1.357,1,0,0,0,0,1,0,0,1
5505,45.639,0,1,0,0,0,1,1,1,1
3583,16.034,0,1,0,0,0,0,0,0,1
8961,62.219,0,0,0,0,1,1,1,0,1
4784,2.779,1,1,1,1,0,0,1,0,1
7959,48.983,0,0,0,1,0,1,1,0,1
7472,46.914,1,0,0,1,0,0,0,0,1
1913,3.006,0,0,0,1,0,0,0,0,1
1651,11.071,1,0,1,1,0,0,1,0,0
5871,61.598,0,1,1,0,0,1,1,0,1
2176,12.437,1,1,1,0,0,0,1,0,1
5219,69.287,0,0,0,1,0,1,1,1,1
94,18.384,1,0,1,1,0,0,1,0,1
551,7.794,1,0,0,0,0,0,1,1,1
1610,2.294,1,0,0,1,1,0,0,0,1
6618,63.992,1,1,0,1,0,0,1,0,1
9050,62.711,0,0,1,0,0,0,1,0,1
8795,68.934,1,0,1,1,0,1,1,0,1
9274,67.87,1,1,0,1,0,0,1,1,0
8946,59.121,1,1,1,0,1,0,0,1,1
7637,55.559,0,1,1,0,0,0,0,0,0
6377,50.625,0,0,0,1,0,0,0,0,1
5519,56.992,0,0,0,0,0,1,1,0,1
5834,65.385,0,1,0,1,0,0,1,0,1
2959,8.259,0,1,0,1,0,0,1,1,1
2537,1.026,0,1,1,1,1,1,1,0,1
166,8.494,0,1,0,0,0,1,0,0,1
9083,70.009,0,0,0,0,0,1,0,0,1
2897,14.722,0,0,0,0,0,0,1,0,1
2700,8.437,0,1,0,0,0,0,0,1,1
188,5.587,0,0,0,0,0,0,0,0,1
3608,16.437,0,1,0,1,0,0,0,0,1
9217,59.017,0,1,0,0,0,0,1,0,1
2339,3.2,0,1,0,0,0,1,1,0,1
8392,45.919,1,0,0,0,0,1,0,1,1
8914,55.021,0,1,0,0,0,1,1,0,1
8692,51.982,1,0,0,0,0,1,1,1,1
3821,9.932,0,1,0,0,1,0,1,1,1
704,7.979,0,1,1,0,0,0,0,1,1
33,20.899,0,1,0,1,0,0,0,1,1
4292,19.561,1,1,1,1,0,0,0,1,1
8153,63.301,1,0,0,0,0,0,1,1,1
2708,9.026,1,0,0,1,0,0,1,1,1
4246,1.741,0,1,0,1,0,0,0,1,1
8219,68.665,1,0,1,1,0,1,1,1,1
7260,70.329,0,1,0,0,0,0,0,0,0
5255,57.959,0,0,0,0,0,1,0,1,1
3076,10.526,1,0,1,0,0,1,0,0,0
2229,10.394,0,1,0,0,0,0,1,0,1
5173,59.3,1,1,0,1,0,1,0,0,1
3882,8.082,1,1,0,1,1,0,0,1,1
8835,71.054,0,1,1,1,0,0,0,0,1
2732,11.161,0,0,1,1,0,1,1,1,1
4280,8.065,0,0,1,1,0,1,0,0,1
666,14.863,0,1,0,1,0,0,0,0,1
2407,17.765,0,1,0,1,0,0,0,1,1
2756,3.122,0,0,0,0,1,1,1,1,1
1002,5.319,1,1,1,0,0,0,0,0,1
7674,65.13,1,1,0,0,0,0,0,1,1
2852,12.869,1,0,0,1,0,0,0,1,1
2363,14.804,1,0,0,0,0,0,0,1,1
7305,57.869,0,0,0,0,1,0,0,0,1
3860,14.364,1,0,1,1,0,1,1,0,1
836,15.748,0,1,0,0,0,0,0,1,1
645,2.768,1,0,0,0,0,1,1,0,1
5150,71.361,1,1,0,0,0,1,1,0,1
4352,6.107,0,0,0,0,0,0,1,0,1
8391,69.384,1,0,0,0,0,0,0,1,1
11,10.522,0,1,0,0,0,1,1,0,1
2319,6.138,1,0,0,0,0,0,0,1,1
7484,70.176,0,0,0,0,0,0,0,0,1
6697,40.731,1,1,0,1,0,0,0,1,1
1682,10.859,1,1,0,1,0,0,0,1,1
8673,39.357,1,0,1,1,0,1,1,0,1
8729,71.125,0,0,1,1,0,1,1,1,0
9696,60.541,1,0,0,0,0,0,0,1,0
6506,69.041,1,0,0,0,0,0,1,0,1
5774,58.787,0,0,0,0,0,0,1,1,1
6012,63.313,0,0,0,1,0,0,0,0,1
9301,64.546,1,0,0,0,0,1,1,0,1
8208,61.054,0,0,1,0,0,0,0,0,0
6698,65.169,1,1,0,1,0,0,0,0,1
1235,11.961,1,0,0,1,0,1,1,1,1
4841,8.712,1,0,0,0,0,0,0,1,1
9870,54.026,0,0,1,0,1,1,0,0,0
7683,57.114,0,0,1,1,0,0,0,1,1
5484,43.77,1,1,1,1,0,1,1,1,1
9093,67.347,0,0,0,0,0,1,0,0,1
6835,64.93,1,0,0,0,0,1,1,1,1
5766,54.708,0,0,1,0,1,0,0,1,1
1835,16.002,0,0,1,1,0,0,0,1,1
3465,4.597,0,0,0,1,1,0,0,0,1
5361,54.108,0,1,0,1,0,0,0,0,1
1891,7.185,0,0,0,1,0,0,1,1,1
1703,7.441,1,1,1,1,0,0,0,1,1
5992,36.053,1,1,0,1,0,0,1,1,1
2921,10.165,0,1,1,1,0,0,0,1,0
6850,61.19,0,1,0,1,0,1,1,0,1
3543,13.082,1,1,0,0,0,1,1,0,1
4523,7.668,1,0,0,1,0,1,0,1,1
899,1.612,0,1,0,0,0,0,1,0,1
3074,1.69,1,0,0,1,1,1,0,0,1
8805,69.122,1,0,1,1,0,1,0,0,1
3280,2.717,1,0,0,1,0,0,0,0,1
6273,49.648,0,1,1,1,0,1,0,1,1
8003,63.257,1,0,0,1,0,0,1,1,1
8256,52.875,1,0,0,0,0,1,0,1,1
8939,65.718,0,1,0,0,0,1,0,0,0
3357,1.399,1,0,1,0,0,1,0,1,1
6061,61.64,1,0,0,1,0,0,0,1,1
1459,3.354,0,0,0,0,0,1,0,0,1
1230,4.997,1,0,1,1,0,0,0,0,1
6754,68.603,0,1,0,0,0,0,0,0,1
382,16.8,1,1,1,0,0,1,1,1,1
9664,65.859,1,0,0,1,0,1,0,0,1
5743,69.768,1,0,0,1,0,0,0,0,1
6209,65.686,0,1,1,0,0,0,0,0,1
9798,65.083,0,1,1,0,0,1,1,1,1
5233,65.282,0,0,1,1,1,0,1,1,1
2867,13.964,1,0,1,0,0,0,0,0,1
6650,65.652,1,1,0,0,0,0,1,1,1
4344,12.186,0,0,1,0,0,0,0,1,1
7879,56.848,0,1,0,0,0,0,1,0,1
4023,15.496,0,1,0,0,1,0,1,0,1
1743,13.825,0,0,1,0,1,0,0,0,1
6579,62.036,0,1,0,0,0,1,0,1,0
4593,7.635,0,0,1,1,1,1,0,0,1
2689,4.526,1,0,1,0,1,0,1,1,1
1502,11.72,1,1,0,0,0,1,0,1,1
8712,66.005,1,1,0,0,0,0,0,1,1
7996,51.682,0,1,0,0,0,0,0,0,1
3039,7.722,1,1,0,1,0,1,1,0,1
9406,62.314,1,0,1,1,1,1,1,1,1
1403,6.643,1,0,1,0,0,0,0,0,1
8343,65.935,0,1,0,0,0,0,0,0,1
6009,64.814,1,1,0,1,0,0,0,0,1
9096,55.78,0,0,0,1,0,1,1,1,0
6106,62.778,0,1,0,0,0,1,0,1,1
8447,55.187,0,0,0,1,0,0,0,1,1
5241,48.922,0,1,0,0,1,1,1,1,1
9813,40.44,0,0,0,0,0,0,0,1,1
2141,2.432,0,0,0,0,0,0,1,0,1
6129,56.863,0,1,0,1,1,0,0,1,1
5258,69.038,0,0,0,0,0,0,0,1,1
7943,41.541,0,0,0,1,0,1,1,1,1
3756,2.561,1,1,0,1,0,0,0,0,1
4318,14.404,1,1,0,1,1,0,0,0,0
5991,47.944,0,0,0,1,0,0,0,0,1
9290,68.075,1,0,0,1,0,1,0,0,1
1135,8.722,1,1,0,1,0,1,1,0,1
8409,45.969,0,0,0,1,0,0,0,0,1
2914,5.007,1,0,0,0,0,0,0,1,1
125,7.231,0,0,1,1,1,0,0,0,1
5129,67.183,0,0,1,1,1,0,1,0,1
3066,10.022,1,0,0,1,0,1,0,1,0
2800,5.955,0,1,1,0,0,0,0,0,0
3442,2.527,0,0,0,0,0,1,0,0,1
8387,55.224,0,0,0,0,0,0,0,0,1
6153,50.073,1,1,0,1,0,0,1,0,0
8026,54.519,1,0,1,1,0,1,0,0,1
4465,15.858,1,0,0,1,0,0,0,0,1
9858,57.479,1,0,1,0,0,0,0,0,1
1802,2.932,0,0,0,0,0,0,0,0,1
3153,7.93,0,1,0,1,1,0,1,1,1
3127,7.47,0,0,0,0,0,0,0,1,1
4737,9.712,0,0,0,0,0,0,0,0,1
9752,62.56,1,1,0,1,0,1,0,1,1
8353,48.032,1,0,1,1,0,0,0,1,0
3364,6.907,0,0,0,0,0,1,0,1,1
2017,16.815,1,1,0,0,0,1,0,1,0
9169,71.866,1,0,0,0,1,0,1,0,1
2115,8.944,0,1,0,1,0,0,0,1,1
9660,64.176,0,1,1,1,0,0,0,1,0
7591,61.173,1,0,0,1,0,0,0,1,1
8588,70.909,1,1,0,1,0,1,1,0,1
3,17.087,0,1,1,0,1,0,0,0,1
6940,64.115,0,0,0,1,0,1,0,0,1
8225,66.126,1,0,0,0,0,0,0,0,1
